"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","853","test_login_courier_successfully","tests","2026-06-08","passed","2026-06-08","","test_courier","",""
"","17320","test_get_orders_list","tests","2026-06-08","passed","2026-06-08","TestGetOrdersList","test_orders","",""
"","438","test_login_non_existent_courier","tests","2026-06-08","passed","2026-06-08","TestLoginCourier","test_courier","",""
"","418","test_create_order_with_colors[None]","tests","2026-06-08","passed","2026-06-08","","test_orders","",""
"","426","test_create_order_with_colors[color2]","tests","2026-06-08","passed","2026-06-08","","test_orders","",""
"","426","test_login_courier_without_password","tests","2026-06-08","passed","2026-06-08","TestLoginCourier","test_courier","",""
"","17409","test_get_orders_list","tests","2026-06-08","passed","2026-06-08","","test_orders","",""
"","847","test_create_duplicate_courier","tests","2026-06-08","passed","2026-06-08","TestCreateCourier","test_courier","",""
"","462","test_create_order_with_colors[color0]","tests","2026-06-08","passed","2026-06-08","TestCreateOrder","test_orders","",""
"","591","test_create_courier_successfully","tests","2026-06-08","passed","2026-06-08","TestCreateCourier","test_courier","",""
"","404","test_create_courier_without_login","tests","2026-06-08","passed","2026-06-08","","test_courier","",""
"","856","test_login_courier_successfully","tests","2026-06-08","passed","2026-06-08","TestLoginCourier","test_courier","",""
"","408","test_create_courier_without_login","tests","2026-06-08","passed","2026-06-08","TestCreateCourier","test_courier","",""
"","438","test_create_order_with_colors[color0]","tests","2026-06-08","passed","2026-06-08","","test_orders","",""
"","419","test_login_non_existent_courier","tests","2026-06-08","passed","2026-06-08","","test_courier","",""
"","841","test_create_duplicate_courier","tests","2026-06-08","passed","2026-06-08","","test_courier","",""
"","431","test_create_order_with_colors[color1]","tests","2026-06-08","passed","2026-06-08","","test_orders","",""
"","426","test_create_courier_without_password","tests","2026-06-08","passed","2026-06-08","","test_courier","",""
"","412","test_login_courier_without_password","tests","2026-06-08","passed","2026-06-08","","test_courier","",""
"","436","test_create_courier_without_password","tests","2026-06-08","passed","2026-06-08","TestCreateCourier","test_courier","",""
"","401","test_login_courier_without_login","tests","2026-06-08","passed","2026-06-08","","test_courier","",""
"","541","test_create_order_with_colors[color1]","tests","2026-06-08","passed","2026-06-08","TestCreateOrder","test_orders","",""
"","449","test_create_order_with_colors[color3]","tests","2026-06-08","passed","2026-06-08","TestCreateOrder","test_orders","",""
"","461","test_create_courier_successfully","tests","2026-06-08","passed","2026-06-08","","test_courier","",""
"","416","test_login_courier_without_login","tests","2026-06-08","passed","2026-06-08","TestLoginCourier","test_courier","",""
"","507","test_create_order_with_colors[color2]","tests","2026-06-08","passed","2026-06-08","TestCreateOrder","test_orders","",""
